date,direction,num_calls,duration_raw,duration_sec,notes
2025-07-27,Incoming,2,4m2s,242,
2025-07-26,Incoming,3,17s,17,
2025-07-11,Incoming,7,13m,780,
2025-06-30,Incoming,1,,,
2025-06-17,Incoming,1,,,
2025-06-14,Incoming,1,0s,0,
2025-06-13,Incoming,3,2m,120,
2025-06-12,Incoming,5,4m,240,
2025-06-10,Outgoing,1,,,
2025-05-18,Incoming,1,,,
2025-05-04,Incoming,1,6m,360,
2025-04-24,Incoming,1,,,
2025-04-20,Incoming,1,1m5s,65,
2025-04-17,Incoming,3,4m,240,
2025-04-13,Outgoing,2,3m,180,
2025-04-10,Incoming,3,2m,120,
2025-04-09,Incoming,1,4m7s,247,
2025-04-06,Outgoing,4,5m,300,
2025-04-05,Outgoing,1,6m,360,
2025-04-04,Incoming,1,0s,0,
2025-04-03,Outgoing,1,3m,180,
2025-04-01,Outgoing,1,21m,1260,
2025-03-31,Incoming,1,,,
2025-03-29,Incoming,2,0s,0,
2025-03-28,Outgoing,2,,,
2025-03-18,Outgoing,1,5m,300,
2025-03-16,Incoming,2,9m,540,
2025-03-14,Incoming,1,7m 4s,424,
2025-03-02,Incoming,3,3m,180,
2025-02-27,Incoming,1,,,
2025-02-16,Incoming,3,,,
2025-02-13,Outgoing,4,5m,300,
2025-02-12,Incoming,2,1m,60,
2025-02-06,Incoming,1,0s,0,
2025-02-02,Outgoing,1,6m,360,
2025-01-30,Outgoing,1,1m,60,
2025-01-27,Incoming,2,20m,1200,
2025-01-24,Outgoing,3,5m,300,
2025-01-23,Outgoing,6,3m,180,
2025-01-22,Outgoing,1,8m,480,
2025-01-18,Incoming,2,7m,420,
2025-01-17,Incoming,2,2m,120,
2025-01-16,Incoming,2,42m,2520,
2025-01-10,Outgoing,1,8m,480,
2025-01-08,Outgoing,1,2m,120,
2025-01-07,Outgoing,1,,,
2025-01-02,Outgoing,1,3m,180,
2025-01-01,Incoming,1,29s,29,
2024-12-30,Incoming,1,32s,32,
2024-12-28,Incoming,1,2m,120,
2024-12-22,Incoming,2,1m4s,64,
2024-12-18,Incoming,1,22s,22,
2024-12-17,Outgoing,1,2m,120,
2024-12-16,Incoming,2,5m5s,305,
2024-12-15,Incoming,1,55s,55,
2024-12-11,Outgoing,1,2m,120,
2024-12-06,Incoming,1,2m25s,145,
2024-12-04,Incoming,2,32s,32,
2024-12-03,Outgoing,1,3m,180,DATE_CORRECTED
2024-12-02,Incoming,1,8m,480,
2024-11-30,Incoming,1,28s,28,
2024-11-28,Outgoing,1,8s,8,
2024-11-27,Outgoing,1,1m,60,
2024-11-26,Incoming,1,3m,180,
2024-11-25,Outgoing,1,3m9s,189,
2024-11-23,Incoming,1,2m15s,135,
2024-11-22,Incoming,2,7m,420,
2024-11-21,Outgoing,3,12m,720,
2024-11-19,Incoming,1,0s,0,
2024-11-18,Outgoing,2,13m,780,
2024-11-16,Outgoing,1,7m,420,
2024-11-15,Outgoing,1,2m,120,
2024-11-14,Incoming,2,9m,540,
2024-11-13,Incoming,1,2m0s,120,
2024-11-08,Incoming,2,44s,44,
2024-11-07,Outgoing,2,,,
2024-11-05,Incoming,1,19s,19,
2024-11-04,Outgoing,4,,,
2024-11-02,Incoming,1,0s,0,
2024-11-01,Incoming,1,0s,0,
2024-10-29,Incoming,4,20s,20,
2024-10-28,Incoming,5,2m,120,
2024-10-27,Incoming,4,1m,60,
2024-10-26,Outgoing,3,,,
2024-10-25,Incoming,5,0s,0,
2024-10-24,Incoming,3,,,
2024-10-23,Incoming,10,3m,180,
2024-10-21,Incoming,3,,,
2024-10-19,Incoming,2,44s,44,
2024-10-18,Incoming,3,1m,60,
2024-10-17,Outgoing,3,1m,60,
2024-10-16,Outgoing,1,,,
2024-10-14,Incoming,7,,,
2024-10-13,Outgoing,1,0s,0,
2024-10-12,Incoming,10,0s,0,
2024-10-11,Incoming,10,0s,0,
2024-10-10,Incoming,3,1m1s,61,
2024-10-09,Incoming,2,1m0s,60,
2024-10-08,Incoming,2,2m,120,
2024-10-07,Outgoing,2,15m,900,
2024-10-06,Outgoing,4,1m,60,
2024-10-05,Outgoing,1,1m,60,
2024-10-04,Incoming,1,,,
